ICV773,O=C1[C@H](C[C@H](NC([C@H]2N(C(COC3=CC=C(Cl)C=C3)=O)C[C@]([H])(CCC4)[C@@]24[H])=O)C([H])=O)CCN1
ICV323,O=C(NCC1=CC=C2OCOC2=C1)C3CCN(CC3)C(C4=CC=CC=5C=CC=CC54)CO
ICV618,N(=CC1=CC=CC(=C1)C)NC2=NC(=NC(=C2)N3CCOCC3)OCCC4=NC=CC=C4
ICV707,C(=C/C(O[C@H](CC1=CC(O)=C(O)C=C1)C(O)=O)=O)\C2=C3C(OC(=C3)C4=CC(O)=C(O)C=C4)=C(O)C=C2
ICV350,S=C1N=C(N)NC=2N=CNC12
ICV42,C(C1(OC(N[C@H](C(N[C@@H](C[C@H]2C(=O)NCC2)C=O)=O)CC(C)C)=O)CCN(S(C)(=O)=O)CC1)C3=CC=CC=C3
ICV726,[C@@H](C[C@H]1C(=O)NCC1)(NC([C@H](CC2=CC=CC=C2)NC(OCC3=CC=CC=C3)=O)=O)C(S(=O)(=O)O)O
ICV427,ClCC/C(C1=CC=CC=C1)=C(C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
ICV6,[C@H](CC1=CC=CC=C1)(C(N[C@@H](C[C@H]2C(=O)NCC2)C=O)=O)NC(/C=C/C3=CC=C(N(C)C)C=C3)=O
ICV181,O=C1OC(C(=O)CC=2SC=3C=CC(Cl)=CC3C2C)C(Cl)=C1Cl
ICV91,[C@H](CC1=CC=CC=C1)(C(NC2=C(Cl)C=C(N(=O)=O)C=C2)=O)NC([C@@H](NC([C@@H](NC(CC)=O)C(C)C)=O)CC(C)C)=O
ICV630,O=C(OC1CCC(F)(CC1)F)N[C@@H](CC(C)C)C(N[C@H](C(O)S(=O)(O)=O)C[C@H]2C(NCC2)=O)=O
ICV633,[C@H](C(N[C@@H](C[C@H]1C(=O)NCC1)C=O)=O)(NC(OC2CCC(CC)CC2)=O)CC(C)C
ICV397,C(#N)[C@]1(O[C@H](COP(OC2=CC=CC=C2)(N[C@H](C(OCC(CC)CC)=O)C)=O)[C@@H](O)[C@H]1O)C=3N4C(=CC3)C(N)=NC=N4
ICV47,[C@@H](CC1=CC=C(F)C=C1)(CC([C@@H](NC(=O)C=2C=C(C)ON2)C(C)C)=O)C(N[C@@H](C[C@H]3C(=O)NCC3)/C=C/C(OCC)=O)=O
ICV678,O=C(OC(OC(=O)C1=CC=CC=2N=C(OCC)N(C21)CC=3C=CC(=CC3)C=4C=CC=CC4C5=NN=NN5)C)OC6CCCCC6
ICV63,[C@H](CC1=CC=CC=C1)([C@H](C[C@H](CC2=CC=CC=C2)NC(COC3=C(C)C=CC=C3C)=O)O)NC([C@@H](NC(CSC4=CC=CC=N4)=O)CC(C)C)=O
ICV261,O=C(C1=C(N2CC3=CC=CC=C3)C=CC(S(=O)(N4CCOCC4)=O)=C1)C2=O
ICV642,O(C(N[C@H](C(N[C@@H](C[C@H]1C(=O)NCC1)C(S(=O)(=O)O)O)=O)CC(C)C)=O)C2(CC)COCOC2
ICV74,C(N[C@@H](CC1=CN=CN1)C=O)[C@@H]2[C@@H](NC(CNC([C@@H](NC(C)=O)[C@@H](C)O)=O)=O)[C@@]3([C@@](CN2C(=O)C4=CC=C(Br)C=C4)(CCCC3)[H])[H]
ICV423,FC(F)(C1=CC=C2SC3=C(N(CCCN(C)C)C2=C1)C=CC=C3)F
